Method, Min_Attack, Max_Attack, Min_Lift, Max_Lift, Angle_1, Angle_2, Angle_3, Time, Hits, Misses, Fail_0, Fail_1, Fail_2, Fail_3, Fail_4, Avg_Error, Std_Dev, Min_Error, Max_Error, Rng_0%, Rng_1%, Rng_2%, Rng_3%, Rng_4%, Rng_5%, Rng_6%, Rng_7%, Rng_8%, Rng_9%, Rng_10%, Rng_11%, Rng_12%, Rng_13%, Rng_14%, Rng_15%
LT, 0, 30, 100, 200, 0, 130, 250, 1.864266, 999998, 2, 0, 1, 1, 0, 0, 5.8711e-09, 9.05531e-07, 2.50789e-15, 0.000327047, 0.000000, 0.000000, 0.000000, 0.002100, 0.004000, 0.011600, 0.038300, 0.135100,  0.516100, 1.764300, 7.404900, 61.442200, 26.777900, 1.891300, 0.012000, 0.000000
EC, 0, 30, 100, 200, 0, 130, 250, 3.138758, 1000000, 0, 0, 0, 0, 0, 0, 4.00414e-11, 2.80898e-08, 4.06544e-17, 2.4846e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000000, 0.000200, 0.000900,  0.005200, 0.052600, 0.307300, 39.889500, 52.576400, 6.487900, 0.630200, 0.049600

LT, 0, 30, 100, 200, 0, 24, 55, 1.765791, 999991, 9, 0, 1, 8, 0, 0, 7.57911e-09, 1.25681e-06, 1.79174e-14, 0.000841264, 0.000000, 0.000000, 0.000000, 0.001700, 0.007500, 0.015200, 0.074700, 0.463700,  5.309600, 50.571100, 36.402700, 6.756200, 0.393000, 0.003700, 0.000000, 0.000000
EC, 0, 30, 100, 200, 0, 24, 55, 3.246226, 1000000, 0, 0, 0, 0, 0, 0, 1.3573e-11, 1.39751e-09, 2.34191e-16, 1.37848e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000100, 0.001200,  0.003800, 0.062300, 43.750100, 49.549200, 5.975800, 0.602700, 0.052700, 0.002000

LT, 0, 30, 100, 200, 0, 190, 210, 1.799771, 999994, 6, 0, 2, 4, 0, 0, 7.24885e-08, 2.08295e-05, 1.25727e-14, 0.0170573, 0.000000, 0.000100, 0.001000, 0.007500, 0.018100, 0.056600, 0.191000, 0.612700,  2.285200, 12.939600, 67.790200, 14.969700, 1.110800, 0.016900, 0.000000, 0.000000
EC, 0, 30, 100, 200, 0, 190, 210, 3.095173, 1000000, 0, 0, 0, 0, 0, 0, 5.01772e-11, 2.87574e-08, 2.98778e-16, 2.62341e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000000, 0.000000, 0.000400,  0.001500, 0.007900, 45.522500, 48.115700, 5.722500, 0.573000, 0.054100, 0.002200

LT, 0, 30, 100, 200, 0, 42, 244, 1.895897, 999995, 5, 0, 1, 4, 0, 0, 4.12701e-09, 8.21085e-07, 1.72079e-15, 0.000373899, 0.000000, 0.000000, 0.000000, 0.001000, 0.003400, 0.006500, 0.022800, 0.088700,  0.400700, 2.464900, 27.535700, 56.244200, 12.589600, 0.640000, 0.002000, 0.000000
EC, 0, 30, 100, 200, 0, 42, 244, 3.164042, 1000000, 0, 0, 0, 0, 0, 0, 1.78182e-10, 1.74072e-07, 3.5571e-17, 0.000174072, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.000000, 0.000200, 0.000500,  0.003200, 0.043200, 2.997800, 73.209300, 21.374600, 2.163700, 0.194200, 0.013200

LT, 0, 30, 100, 200, 0, 255, 315, 1.739607, 999995, 5, 0, 1, 4, 0, 0, 2.30464e-08, 9.46277e-06, 8.85356e-15, 0.00587955, 0.000000, 0.000000, 0.000500, 0.000600, 0.002800, 0.008700, 0.033800, 0.141000,  0.745700, 6.347300, 51.583100, 36.696500, 4.313000, 0.126300, 0.000200, 0.000000
EC, 0, 30, 100, 200, 0, 255, 315, 3.223916, 1000000, 0, 0, 0, 0, 0, 0, 1.49432e-10, 1.44356e-07, 0, 0.000144355, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.000000, 0.000100, 0.001400,  0.013900, 0.175000, 4.586200, 73.599000, 19.478400, 1.961800, 0.175600, 0.008500

LT, 0, 30, 100, 200, 0, 72, 232, 1.880228, 999999, 1, 0, 0, 1, 0, 0, 6.75053e-09, 3.15815e-06, 1.85e-15, 0.00307651, 0.000000, 0.000000, 0.000100, 0.001100, 0.002800, 0.009800, 0.028400, 0.087900,  0.335200, 1.586700, 10.393700, 63.567700, 22.453800, 1.523400, 0.009300, 0.000000
EC, 0, 30, 100, 200, 0, 72, 232, 3.122608, 1000000, 0, 0, 0, 0, 0, 0, 2.22612e-10, 2.20878e-07, 2.80162e-17, 0.000220878, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.000000, 0.000000, 0.000300,  0.002400, 0.031200, 0.323000, 51.553900, 42.746600, 4.869200, 0.441200, 0.032100

LT, 0, 30, 100, 200, 0, 175, 184, 1.683934, 999966, 34, 0, 11, 23, 0, 0, 1.5545e-07, 2.32783e-05, 4.3742e-14, 0.0114915, 0.000000, 0.000100, 0.002900, 0.013900, 0.046900, 0.146700, 0.329700, 1.050700,  3.794400, 59.781700, 31.894800, 2.822000, 0.112700, 0.000100, 0.000000, 0.000000
EC, 0, 30, 100, 200, 0, 175, 184, 3.069053, 1000000, 0, 0, 0, 0, 0, 0, 2.95776e-10, 1.68495e-07, 2.77702e-16, 0.000124036, 0.000000, 0.000000, 0.000000, 0.000200, 0.000000, 0.000000, 0.000000, 0.000600,  0.008800, 17.142800, 69.913900, 11.655400, 1.157700, 0.112400, 0.008100, 0.000100

